nombre_centro;municipio;lat;lon
LLUÍS VIVES;Paiporta;NA;NA
ROSA SERRANO;Paiporta;NA;NA
ANDREU ALFARO;Paiporta;39.4299954;-0.4172313
LA SÈNIA;Paiporta;NA;NA
CARMELITAS PATERNA;Paterna;39.4965396;-0.4358174
LICEO HISPANO;Paterna;39.4967115;-0.4345777
NUESTRA SEÑORA DEL ROSARIO;Paterna;39.5238611;-0.4343877
CAMARENA VALTERNA;Paterna;39.5112148;-0.4309159
COMPLEJO PREUNIVERSITARIO MAS CAMARENA;Paterna;39.5501156;-0.4628994
ANTONIO FERRANDIS;Paterna;NA;NA
AUSIÀS MARCH;Paterna;39.5065373;-0.4379561
CLARA CAMPOAMOR;Paterna;39.4993581;-0.4408013
JAIME I EL CONQUISTADOR;Paterna;NA;NA
LA COMA;Paterna;NA;NA
MIGUEL DE CERVANTES;Paterna;NA;NA
SANCHIS GUARNER;Paterna;39.5071951;-0.4532538
TORRE DE PATERNA;Paterna;NA;NA
